Датування	B-dating_criteria
Друга	O
чверть	O
XІ	O
кінець	O
XVІ	O
ст.	O
за	O
формою	O
прорізів	O

Розташування	B-other
Висота	O
від	O
сучасної	O
підлоги	O
84	O
см	O
відстань	O
від	O
лівого	O
кута	O
438	O
см	O

Датування	B-dating_criteria
Друга	O
чверть	O
ХІ	O
кінець	O
XV	O
ст.	O
за	O
формою	O
написання	O
н	O
з	I-object_type
діаго-	O

Розташування	B-other
Висота	O
від	O
сучасної	O
підлоги	O
42	O
см	O
відстань	O
від	O
правого	O
кута	O

Опис	B-inscription
На	O
поверхні	O
фрески	I-object_type
частково	O
зберігся	O
дворядковий	B-other
напис	I-inscription_type
У	O
верхньому	O

Графіті	B-inscription
№	O
508	O
табл	O
LХV	O
1	O

Категорія	O
Підпис	O
до	O
фрескового	O
образу	O

сучасних	O
написів	O
переважно	O
залишених	O
відвідувачами	O
Софії	O
Київської	O
у	I-object_type
другій	O
половини	O

Опис	B-inscription
Напис	O
виконаний	O
поруч	O
із	O
молитвою	O
Павла	O
№	O
488	O
тому	O
на	I-inscription_type
перший	O
по-	O

Графіті	B-inscription
№	O
597	O
табл	O
ХLIV	O
4	O

Датування	B-dating_criteria
Друга	O
чверть	O
XІ	O
кінець	O
XVІ	O
ст.	O
за	O
формою	O
прорізів	O

Опис	B-inscription
На	O
поверхні	O
личкувального	O
розчину	O
подвійною	O
рискою	O
прокреслена	O

ченці	O
які	O
в	O
певний	O
час	O
та	O
за	O
певних	O
обставин	O
найвірогдніше	O
як	O
паломники	O
відвідали	O

З	O
відновленням	O
втрачених	O
фрагментів	O
наявний	O
текст	O
виглядає	O
таким	O
чином	O

вдало	O
виконану	O
Н	O
або	O
.	O
Утім	O
можлива	O
хоча	O
й	O
менш	O
вірогідна	O
її	O
ідентифікація	O
і	O
як	O

Публікації	O
С.	O
Висоцький63	O

З	O
розбивкою	O
на	I-inscription_type
слова	O
та	O
відновленням	O
втрачених	O
фрагментів	O
текст	O
виглядає	O

Датування	B-dating_criteria
Друга	O
чверть	O
ХІ	O
кінець	O
ХVІ	O
ст.	O
за	O
формою	O
прорізів	O

Розташування	B-other
Висота	O
від	O
сучасної	O
підлоги	O
61	O
см	O
відстань	O
від	O
лівого	O
кута	O
8	O
см	O

Графіті	B-inscription
№	O
560	O
табл	O
LІІ	O
3	O

Опис	B-inscription
Поверхня	O
стіни	I-object_type
в	O
місці	O
розташування	O
напису	I-preservation_state
пошкоджена	O
вибоями	O
тож	O

іконографічну	O
відповідність	O
зображеному	O
тут	O
святому	O
не	O
виявляється	O
за	O
можливе	O

Розташування	B-other
Висота	O
від	O
сучасної	O
підлоги	O
266	O
см	O
відстань	O
від	O
лівого	O
ребра	O

Категорія	O
Антропоморфні	O
зображення	I-decoration

пласкої	O
чаші	O
ъ	O
з	I-object_type
петлею	O
кутом	O
вперед	O
найвірогідніше	O
друга	O
третина	O
ХІІ	O
ст.	O
за	O
ти-	O

Публікації	O
В.	O
Корнієнко176	O

формами	O
написання	O
літер	O

Категорія	O
Молитовний	O
напис	I-inscription_type

Опис	B-inscription
Більша	O
частина	I-other
малюнка	O
знищена	O
ерозією	O
поверхні	O
мармуру	O
за	O
збере-	O

Категорія	O
Фрагмент	O
напису	I-preservation_state

